Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENSMUSP00000002121	ENSMUST00000002121	ENSMUSG00000002052	Supt6
ENSMUSP00000002127	ENSMUST00000002127	ENSMUSG00000002058	Unc119
ENSMUSP00000002128	ENSMUST00000002128	ENSMUSG00000002059	Rab34
ENSMUSP00000002133	ENSMUST00000002133	ENSMUSG00000002064	Sdf2
ENSMUSP00000002145	ENSMUST00000002145	ENSMUSG00000002076	Hsf2bp
ENSMUSP00000002152	ENSMUST00000002152	ENSMUSG00000002083	Bbc3
ENSMUSP00000002171	ENSMUST00000002171	ENSMUSG00000002102	Psmc3
ENSMUSP00000002172	ENSMUST00000002172	ENSMUSG00000002103	Acp2
ENSMUSP00000002176	ENSMUST00000002176	ENSMUSG00000002107	Celf2
ENSMUSP00000002177	ENSMUST00000002177	ENSMUSG00000002108	Nr1h3
ENSMUSP00000002180	ENSMUST00000002180	ENSMUSG00000002111	Spi1
